local authority code,local authority name,LSOA code,residents,Distance: Less than 2km,Distance: 2km to less than 5km,Distance: 5km to less than 10km,Distance: 10km to less than 20km,Distance: 20km to less than 30km,Distance: 30km to less than 40km,Distance: 40km to less than 60km,Distance: 60km and over,Work mainly at or from home,Other
E09000001,City of London,E01000001,863,84,53,34,11,1,2,3,3,639,33
E09000001,City of London,E01000002,882,78,40,21,6,2,4,3,2,678,48
E09000001,City of London,E01000003,1006,145,80,60,22,3,0,0,7,622,67
E09000001,City of London,E01000005,504,95,78,45,27,4,0,2,2,204,47
E09000001,City of London,E01032739,1179,153,77,48,14,2,1,1,12,817,54
E09000001,City of London,E01032740,928,119,56,29,6,3,0,0,4,651,60
E09000002,Barking and Dagenham,E01000006,883,61,89,108,160,42,10,5,12,191,205
E09000002,Barking and Dagenham,E01000007,1376,78,114,201,330,55,14,24,9,367,184
E09000002,Barking and Dagenham,E01000008,648,48,62,114,142,22,3,3,9,80,165
E09000002,Barking and Dagenham,E01000009,785,57,71,88,153,39,15,8,11,159,184
E09000002,Barking and Dagenham,E01000011,738,46,76,106,127,23,9,4,7,137,203
E09000002,Barking and Dagenham,E01000012,910,68,79,142,154,31,5,3,12,186,230
E09000002,Barking and Dagenham,E01000013,797,76,97,76,141,57,11,6,8,126,199
E09000002,Barking and Dagenham,E01000014,795,69,105,84,135,38,8,4,11,146,195
E09000002,Barking and Dagenham,E01000015,1064,78,140,106,172,73,16,3,11,202,263
E09000002,Barking and Dagenham,E01000016,856,68,137,80,157,52,8,8,7,149,190
E09000002,Barking and Dagenham,E01000017,746,55,121,60,136,44,9,4,13,136,168
E09000002,Barking and Dagenham,E01000018,832,63,115,61,167,66,4,3,7,142,204
E09000002,Barking and Dagenham,E01000019,690,54,120,87,75,35,6,4,8,130,171
E09000002,Barking and Dagenham,E01000020,894,48,167,77,143,43,8,4,10,182,212
E09000002,Barking and Dagenham,E01000021,684,53,110,83,100,24,7,3,9,116,179
E09000002,Barking and Dagenham,E01000022,638,52,106,63,86,30,7,3,6,137,148
E09000002,Barking and Dagenham,E01000024,629,31,118,83,109,22,6,4,5,106,145
E09000002,Barking and Dagenham,E01000025,838,42,125,105,156,42,5,3,9,176,175
E09000002,Barking and Dagenham,E01000027,804,42,120,95,126,49,9,6,3,142,212
E09000002,Barking and Dagenham,E01000028,684,39,110,80,94,37,21,3,8,126,166
E09000002,Barking and Dagenham,E01000029,771,44,104,92,110,43,10,8,6,188,166
E09000002,Barking and Dagenham,E01000030,980,38,141,125,141,65,26,5,10,221,208
E09000002,Barking and Dagenham,E01000031,790,35,96,66,130,60,6,4,5,244,144
E09000002,Barking and Dagenham,E01000032,878,62,94,114,141,32,11,4,15,198,207
E09000002,Barking and Dagenham,E01000033,588,48,100,74,106,31,8,6,4,86,125
