local authority code,local authority name,LSOA code,residents,hours worked 15 or less,hours worked 16 to 30,hours worked 31 to 48,hours worked 49 or more
E09000001,City of London,E01000001,864,85,80,435,264
E09000001,City of London,E01000002,880,52,79,431,318
E09000001,City of London,E01000003,1000,80,130,544,246
E09000001,City of London,E01000005,502,57,76,304,65
E09000001,City of London,E01032739,1182,67,72,583,460
E09000001,City of London,E01032740,928,49,58,464,357
E09000002,Barking and Dagenham,E01000006,885,117,205,483,80
E09000002,Barking and Dagenham,E01000007,1384,137,259,868,120
E09000002,Barking and Dagenham,E01000008,645,110,155,339,41
E09000002,Barking and Dagenham,E01000009,783,98,152,460,73
E09000002,Barking and Dagenham,E01000011,736,104,187,357,88
E09000002,Barking and Dagenham,E01000012,902,108,231,491,72
E09000002,Barking and Dagenham,E01000013,804,80,175,482,67
E09000002,Barking and Dagenham,E01000014,793,85,171,466,71
E09000002,Barking and Dagenham,E01000015,1063,105,246,624,88
E09000002,Barking and Dagenham,E01000016,866,88,164,538,76
E09000002,Barking and Dagenham,E01000017,753,80,144,457,72
E09000002,Barking and Dagenham,E01000018,834,77,188,486,83
E09000002,Barking and Dagenham,E01000019,688,80,183,361,64
E09000002,Barking and Dagenham,E01000020,893,122,187,514,70
E09000002,Barking and Dagenham,E01000021,684,92,159,382,51
E09000002,Barking and Dagenham,E01000022,643,81,162,341,59
E09000002,Barking and Dagenham,E01000024,626,81,123,375,47
E09000002,Barking and Dagenham,E01000025,838,104,170,499,65
E09000002,Barking and Dagenham,E01000027,804,106,162,466,70
E09000002,Barking and Dagenham,E01000028,686,85,159,397,45
E09000002,Barking and Dagenham,E01000029,773,95,149,475,54
E09000002,Barking and Dagenham,E01000030,975,126,210,552,87
E09000002,Barking and Dagenham,E01000031,792,99,168,458,67
E09000002,Barking and Dagenham,E01000032,885,99,188,521,77
E09000002,Barking and Dagenham,E01000033,588,70,131,336,51
E09000002,Barking and Dagenham,E01000034,653,61,122,412,58
E09000002,Barking and Dagenham,E01000035,821,92,159,502,68
E09000002,Barking and Dagenham,E01000036,695,89,106,439,61
E09000002,Barking and Dagenham,E01000037,861,75,161,534,91
E09000002,Barking and Dagenham,E01000038,781,68,143,492,78
E09000002,Barking and Dagenham,E01000039,819,69,145,515,90
E09000002,Barking and Dagenham,E01000040,737,96,170,410,61
E09000002,Barking and Dagenham,E01000041,825,85,162,502,76
E09000002,Barking and Dagenham,E01000042,710,84,152,427,47
E09000002,Barking and Dagenham,E01000043,703,99,147,391,66
E09000002,Barking and Dagenham,E01000044,899,110,189,514,86
E09000002,Barking and Dagenham,E01000045,728,83,164,394,87
E09000002,Barking and Dagenham,E01000046,859,85,164,525,85
