local authority code,local authority name,LSOA code,All usual residents aged 16-74 in work,Work mainly at or from home,Underground; metro; light rail; tram,Train,Bus; minibus or coach,Taxi,Motorcycle; scooter or moped,Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work
E09000001,City of London,E01000001,926,113,190,37,33,10,5,28,4,47,445,14
E09000001,City of London,E01000002,910,98,201,42,22,14,7,26,1,57,428,14
E09000001,City of London,E01000003,764,57,156,40,70,2,4,30,1,70,325,9
E09000001,City of London,E01000005,476,19,109,44,76,1,1,28,2,34,159,3
E09000001,City of London,E01032739,819,83,140,52,37,9,2,12,1,16,453,14
E09000001,City of London,E01032740,852,66,130,59,30,8,6,21,3,28,487,14
E09000002,Barking and Dagenham,E01000006,781,29,265,110,61,3,1,230,12,7,60,3
E09000002,Barking and Dagenham,E01000007,607,8,211,90,73,2,2,148,11,0,57,5
E09000002,Barking and Dagenham,E01000008,545,7,176,65,91,0,1,132,8,5,55,5
E09000002,Barking and Dagenham,E01000009,769,17,298,130,76,2,7,163,10,3,58,5
E09000002,Barking and Dagenham,E01000011,691,19,224,97,102,1,2,176,11,6,50,3
E09000002,Barking and Dagenham,E01000012,769,14,247,115,107,8,4,204,15,7,43,5
E09000002,Barking and Dagenham,E01000013,800,13,202,84,108,7,6,293,28,6,46,7
E09000002,Barking and Dagenham,E01000014,565,14,130,75,63,0,6,213,27,4,32,1
E09000002,Barking and Dagenham,E01000015,885,15,274,89,109,3,9,296,17,10,59,4
E09000002,Barking and Dagenham,E01000016,678,9,150,62,93,7,9,263,19,7,55,4
E09000002,Barking and Dagenham,E01000017,642,16,146,58,75,3,2,279,22,10,30,1
E09000002,Barking and Dagenham,E01000018,644,7,165,58,82,4,4,248,14,6,52,4
E09000002,Barking and Dagenham,E01000019,558,17,80,64,85,4,4,236,11,6,47,4
E09000002,Barking and Dagenham,E01000020,712,14,91,108,92,4,13,318,24,9,35,4
E09000002,Barking and Dagenham,E01000021,614,12,107,67,95,4,9,244,19,14,40,3
E09000002,Barking and Dagenham,E01000022,532,10,81,58,92,1,8,228,20,12,19,3
E09000002,Barking and Dagenham,E01000024,534,9,88,53,78,0,13,239,14,15,21,4
E09000002,Barking and Dagenham,E01000025,678,15,110,86,122,7,6,276,27,6,22,1
E09000002,Barking and Dagenham,E01000027,634,13,89,53,102,3,5,290,22,13,40,4
E09000002,Barking and Dagenham,E01000028,535,14,92,49,88,3,7,229,18,4,29,2
