local authority code,local authority name,LSOA code,All usual residents aged 16+ in work,Work mainly at or from home,Underground; metro; light rail; tram,Train,Bus; minibus or coach,Taxi,Motorcycle; scooter or moped,Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work
E09000001,City of London,E01000001,863,639,35,17,12,3,3,18,0,24,109,3
E09000001,City of London,E01000002,883,678,30,12,15,2,1,19,3,25,93,5
E09000001,City of London,E01000003,1007,622,72,21,26,4,4,27,7,62,146,16
E09000001,City of London,E01000005,498,204,69,25,45,2,2,32,1,20,90,8
E09000001,City of London,E01032739,1177,817,88,9,25,5,1,16,0,21,182,13
E09000001,City of London,E01032740,930,651,52,13,11,4,1,11,1,39,140,7
E09000002,Barking and Dagenham,E01000006,888,191,206,104,60,1,6,226,10,6,61,17
E09000002,Barking and Dagenham,E01000007,1381,367,354,177,117,9,2,220,24,20,73,18
E09000002,Barking and Dagenham,E01000008,648,80,125,74,125,5,3,176,8,6,40,6
E09000002,Barking and Dagenham,E01000009,781,159,201,96,68,1,4,167,18,5,45,17
E09000002,Barking and Dagenham,E01000011,740,137,155,86,90,1,4,172,28,14,38,15
E09000002,Barking and Dagenham,E01000012,904,186,204,112,98,9,5,205,13,13,37,22
E09000002,Barking and Dagenham,E01000013,798,126,187,71,76,1,5,252,19,9,43,9
E09000002,Barking and Dagenham,E01000014,798,146,134,61,81,3,6,293,25,11,30,8
E09000002,Barking and Dagenham,E01000015,1072,202,204,89,105,9,6,351,21,17,53,15
E09000002,Barking and Dagenham,E01000016,864,149,131,72,88,6,5,304,23,12,57,17
E09000002,Barking and Dagenham,E01000017,747,136,127,67,81,1,2,251,26,9,34,13
E09000002,Barking and Dagenham,E01000018,837,142,165,75,65,1,9,277,30,9,52,12
E09000002,Barking and Dagenham,E01000019,690,130,73,68,67,3,7,255,27,10,40,10
E09000002,Barking and Dagenham,E01000020,890,182,96,85,98,11,5,317,27,21,37,11
E09000002,Barking and Dagenham,E01000021,689,116,101,45,89,0,5,267,16,12,31,7
E09000002,Barking and Dagenham,E01000022,635,137,73,39,67,4,5,243,22,11,26,8
E09000002,Barking and Dagenham,E01000024,630,106,88,52,93,2,6,236,13,8,15,11
E09000002,Barking and Dagenham,E01000025,835,176,134,61,97,8,11,271,24,8,31,14
E09000002,Barking and Dagenham,E01000027,803,142,91,48,82,4,1,336,40,8,42,9
E09000002,Barking and Dagenham,E01000028,692,126,85,50,100,3,6,258,19,9,28,8
E09000002,Barking and Dagenham,E01000029,775,188,90,49,60,6,1,303,28,9,32,9
E09000002,Barking and Dagenham,E01000030,970,221,107,50,136,7,8,368,24,5,25,19
E09000002,Barking and Dagenham,E01000031,794,244,73,83,64,6,2,269,6,5,24,18
E09000002,Barking and Dagenham,E01000032,884,198,107,89,96,6,5,300,26,4,39,14
E09000002,Barking and Dagenham,E01000033,587,86,67,51,77,2,3,236,17,10,28,10
E09000002,Barking and Dagenham,E01000034,654,140,82,34,78,5,4,260,17,2,25,7
E09000002,Barking and Dagenham,E01000035,809,154,157,75,76,10,6,253,23,7,42,6
E09000002,Barking and Dagenham,E01000036,699,145,172,57,51,4,0,220,11,8,19,12
E09000002,Barking and Dagenham,E01000037,858,226,63,62,52,3,13,342,25,14,51,7
